rawName,canonicalName,entityType,confidence,matchMethod
OpenAI,OpenAI,STARTUP,1.0,EXACT
Anthropic,Anthropic,STARTUP,1.0,EXACT
Cohere,Cohere,STARTUP,1.0,EXACT
Mistral AI,Mistral AI,STARTUP,1.0,FUZZY_TOKEN_RATIO
Hugging Face,Hugging Face,STARTUP,1.0,EXACT
Scale AI,Scale AI,STARTUP,1.0,FUZZY_TOKEN_RATIO
Midjourney,Midjourney,STARTUP,1.0,EXACT
Perplexity AI,Perplexity AI,STARTUP,1.0,ALIAS_HASH
Stability AI,Stability AI,STARTUP,1.0,FUZZY_TOKEN_RATIO
Databricks,Databricks,STARTUP,1.0,EXACT
LangChain,LangChain,STARTUP,1.0,EXACT
Pinecone,Pinecone,STARTUP,1.0,EXACT
Weaviate,Weaviate,STARTUP,1.0,EXACT
Qdrant,Qdrant,STARTUP,1.0,EXACT
Together AI,Together AI,STARTUP,1.0,FUZZY_TOKEN_RATIO
Anyscale,Anyscale,STARTUP,1.0,EXACT
Runway,Runway,STARTUP,1.0,EXACT
ElevenLabs,ElevenLabs,STARTUP,1.0,EXACT
Harvey,Harvey,STARTUP,1.0,EXACT
Character.AI,Character.AI,STARTUP,1.0,FUZZY_TOKEN_RATIO
Llmfan46,Llmfan46,STARTUP,0.9,NORMALIZED_TITLE
Llm Jp,Llm Jp,STARTUP,0.9,NORMALIZED_TITLE
Alicankiraz0,Alicankiraz0,STARTUP,0.9,NORMALIZED_TITLE
Arnir0,Arnir0,STARTUP,0.9,NORMALIZED_TITLE
Fireredteam,Fireredteam,STARTUP,0.9,NORMALIZED_TITLE
Ssc Dsai,Ssc Dsai,STARTUP,0.9,NORMALIZED_TITLE
Fastino,Fastino,STARTUP,0.9,NORMALIZED_TITLE
Farbodtavakkoli,Farbodtavakkoli,STARTUP,0.9,NORMALIZED_TITLE
Llm Agents,Llm Agents,STARTUP,0.9,NORMALIZED_TITLE
Epfl Llm,Epfl Llm,STARTUP,0.9,NORMALIZED_TITLE
Somosnlp,Somosnlp,STARTUP,0.9,NORMALIZED_TITLE
Local Novel Llm Project,Local Novel Llm Project,STARTUP,0.9,NORMALIZED_TITLE
Kenhktsui,Kenhktsui,STARTUP,0.9,NORMALIZED_TITLE
Ticoag,Ticoag,STARTUP,0.9,NORMALIZED_TITLE
Tokyotech Llm,Tokyotech Llm,STARTUP,0.9,NORMALIZED_TITLE
Rakhman Llm,Rakhman Llm,STARTUP,0.9,NORMALIZED_TITLE
Del Taiseiozaki,Del Taiseiozaki,STARTUP,0.9,NORMALIZED_TITLE
S Emanuilov,S Emanuilov,STARTUP,0.9,NORMALIZED_TITLE
Nikolaykozloff,Nikolaykozloff,STARTUP,0.9,NORMALIZED_TITLE
Mradermacher,Mradermacher,STARTUP,0.9,NORMALIZED_TITLE
Mjpt2,Mjpt2,STARTUP,0.9,NORMALIZED_TITLE
Kavyaah,Kavyaah,STARTUP,0.9,NORMALIZED_TITLE
Rtp Llm,Rtp Llm,STARTUP,0.9,NORMALIZED_TITLE
Tencent,Tencent,STARTUP,0.9,NORMALIZED_TITLE
Llm Semantic Router,Llm Semantic Router,STARTUP,0.9,NORMALIZED_TITLE
Garak Llm,Garak Llm,STARTUP,0.9,NORMALIZED_TITLE
Cpt Crazyyy,Cpt Crazyyy,STARTUP,0.9,NORMALIZED_TITLE
Weblab Llm M,Weblab Llm M,STARTUP,0.9,NORMALIZED_TITLE
Speech Ai Research Center,Speech Ai Research Center,STARTUP,0.9,NORMALIZED_TITLE
Nithins03,Nithins03,STARTUP,0.9,NORMALIZED_TITLE
Llm Os Models,Llm Os Models,STARTUP,0.9,NORMALIZED_TITLE
Llmwildling,Llmwildling,STARTUP,0.9,NORMALIZED_TITLE
Amalia Llm,Amalia Llm,STARTUP,0.9,NORMALIZED_TITLE
Amd,Amd,STARTUP,0.9,NORMALIZED_TITLE
Llmsforall,Llmsforall,STARTUP,0.9,NORMALIZED_TITLE
