schemaVersion,recordType,source.name,source.url,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10540v1,Programmable World Model,"Zheng-Hui Huang, Guixu Lin, Jiacheng Lin, Yi-Chuan Huang, Ruihan Yu, Muyao Niu, Siqi Yang, Yu-Lun Liu, Yung-Yu Chuang, Kaipeng Zhang, Zhixiang Wang",http://arxiv.org/abs/2609.10540v1,,,2026-09-09T17:59:32+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10539v1,IdeaAMBIG: Benchmarking Implementation-Critical Gaps in Research-Idea Specifications,"Yiling Ma, Yilun Zhao, Sihong Wu, Manasi Patwardhan, Arman Cohan",http://arxiv.org/abs/2609.10539v1,,,2026-09-09T17:59:04+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10534v1,Likelihood-free inference with nuisance parameters through normalizing flows,Phil Assheton,http://arxiv.org/abs/2609.10534v1,,,2026-09-09T17:58:15+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10531v1,Guiding Image-to-3D Generation with Test-Time Partial Observations,"Jerred Chen, Simon Weber, Ronald Clark",http://arxiv.org/abs/2609.10531v1,,,2026-09-09T17:58:04+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10529v1,A positive resolution of the gap-entropy conjecture,"P. M. Aronow, Nathan Kallus, Patrick Lopatto",http://arxiv.org/abs/2609.10529v1,,,2026-09-09T17:57:11+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10525v1,Characterizing Language Generation in the Limit: Finite Witnesses and a Separation-Width Hierarch,"Xiaoyu Li, Andi Han, Jiaojiao Jiang, Junbin Gao",http://arxiv.org/abs/2609.10525v1,https://github.com/xiaoyulics/language-generation-characterization,0.0,2026-09-09T17:54:30+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10524v1,Precision in Rice Variety Classification using Stacking-Based Ensemble Learning,"Md. Masudul Islam, Galib Muhammad Shahriar Himel, Md. Golam Moazzam, Mohammad Shorif Uddin",http://arxiv.org/abs/2609.10524v1,,,2026-09-09T17:53:50+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10522v1,Show-Harness: Just a VLM Agent Can Play Robots,"Yanzhe Chen, Zechen Bai, Zhijun Cao, Wenzheng Zeng, Kevin Qinghong Lin, Yiqi Lin, Guoqiang Liang, Kevin Yuchen Ma, Qiming Huang, Mike Zheng Shou",http://arxiv.org/abs/2609.10522v1,,,2026-09-09T17:53:38+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10518v1,BrainTaskonomy: Learning How to Pretrain and What to Transfer in fMRI Foundation Models,"Junfeng Xia, Wenhao Ye, Junxiang Zhang, Jiayu Zuo, Mo Wang, Quanying Liu",http://arxiv.org/abs/2609.10518v1,,,2026-09-09T17:50:39+00:00,2026-09-10T07:40:39.821749+00:00
1.0,RESEARCH_PAPER,Arxiv / Papers with Code,http://arxiv.org/abs/2609.10514v1,Optimal Low-Rank Quantum State Tomography with Bounded-Sample Joint Measurements,"Ashwin Nayak, Xingyu Zhou",http://arxiv.org/abs/2609.10514v1,,,2026-09-09T17:48:41+00:00,2026-09-10T07:40:39.821749+00:00
